CountryID,Country Name,Region,Property Rights,Judical Effectiveness,Fiscal Health,Business Freedom,Investment Freedom ,Financial Freedom,Tax Burden % of GDP
1,Afghanistan,Asia-Pacific,19.6,29.6,99.3,49.2,10.0,10.0,5.0
2,Albania,Europe,54.8,30.6,80.6,69.3,70.0,70.0,24.9
3,Algeria,Middle East and North Africa,31.6,36.2,18.7,61.6,30.0,30.0,24.5
4,Angola,Sub-Saharan Africa,35.9,26.6,58.2,55.7,30.0,40.0,20.6
5,Argentina,Americas,47.8,44.5,33.0,56.4,55.0,60.0,30.8
6,Armenia,Europe,57.2,46.3,53.0,78.3,75.0,70.0,21.3
7,Australia,Asia-Pacific,79.1,86.5,86.2,88.3,80.0,90.0,28.2
8,Austria,Europe,84.2,71.3,85.5,74.9,90.0,70.0,42.7
9,Azerbaijan,Asia-Pacific,59.1,53.1,89.4,69.5,60.0,60.0,15.0
10,Bahamas,Americas,42.2,46.9,65.7,68.5,50.0,60.0,16.3
11,Bahrain,Middle East and North Africa,63.5,50.7,3.7,71.4,75.0,80.0,5.6
12,Bangladesh,Asia-Pacific,36.1,34.5,77.6,50.9,45.0,30.0,8.8
13,Barbados,Americas,52.9,59.9,79.5,69.8,70.0,60.0,33.7
14,Belarus,Europe,55.2,51.7,85.4,75.0,30.0,10.0,23.8
15,Belgium,Europe,81.3,61.6,73.4,78.1,85.0,70.0,44.2
16,Belize,Americas,41.7,46.9,39.1,61.8,55.0,50.0,27.6
17,Benin,Sub-Saharan Africa,37.2,32.8,27.9,62.4,70.0,50.0,11.9
18,Bhutan,Asia-Pacific,62.5,55.4,77.6,68.7,20.0,30.0,13.4
19,Bolivia,Americas,20.5,12.3,17.6,58.8,15.0,40.0,31.1
20,Bosnia and Herzegovina,Europe,40.2,37.9,96.6,49.7,65.0,60.0,37.0
21,Botswana,Sub-Saharan Africa,58.1,45.7,94.6,68.7,65.0,70.0,24.9
22,Brazil,Americas,57.3,51.7,5.9,57.9,50.0,50.0,32.2
186,Brunei Darussalam,Asia-Pacific,64.0,56.0,20.0,80.2,65.0,50.0,24.2
23,Bulgaria,Europe,62.5,41.9,98.8,62.7,70.0,60.0,28.0
24,Burkina Faso,Sub-Saharan Africa,49.1,42.9,61.8,51.6,65.0,40.0,16.3
25,Burma,Asia-Pacific,34.7,18.1,78.3,52.8,30.0,20.0,6.5
26,Burundi,Sub-Saharan Africa,20.6,31.0,23.3,50.3,50.0,30.0,12.3
27,Cambodia,Asia-Pacific,37.4,27.6,89.1,29.9,60.0,50.0,15.0
28,Cameroon,Sub-Saharan Africa,42.5,31.3,58.4,44.4,30.0,50.0,15.6
29,Canada,Americas,87.0,69.4,83.1,81.9,80.0,80.0,31.7
30,Cabo Verde,Sub-Saharan Africa,44.1,49.0,59.7,65.2,80.0,60.0,23.7
31,Central African Republic,Sub-Saharan Africa,19.6,29.6,94.3,24.2,45.0,30.0,9.0
