Chapter ID,Movie Title,Release Year,Runtime,Budget,Box Office,Movie Chapter,Chapter Name,Dialogue,Character Name,Species,Gender,House,Patronus,Wand (Wood),Wand (Core),Place Name,Place Category
1,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ",1002000000,1,Doorstep Delivery,I should have known that you would be here...Professor McGonagall.,Albus Dumbledore,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair,4 Privet Drive,Dwellings
1,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ",1002000000,1,Doorstep Delivery,"I'm afraid so, Professor. The good, and the bad.",Albus Dumbledore,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair,4 Privet Drive,Dwellings
1,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ",1002000000,1,Doorstep Delivery,Hagrid is bringing him.,Albus Dumbledore,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair,4 Privet Drive,Dwellings
1,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ",1002000000,1,Doorstep Delivery,"Ah, Professor, I would trust Hagrid with my life.",Albus Dumbledore,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair,4 Privet Drive,Dwellings
1,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ",1002000000,1,Doorstep Delivery,"No problems, I trust, Hagrid?",Albus Dumbledore,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair,4 Privet Drive,Dwellings
1,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ",1002000000,1,Doorstep Delivery,The only family he has.,Albus Dumbledore,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair,4 Privet Drive,Dwellings
1,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ",1002000000,1,Doorstep Delivery,Exactly. He's better off growing up away from all that. Until he is ready.,Albus Dumbledore,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair,4 Privet Drive,Dwellings
1,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ",1002000000,1,Doorstep Delivery,"There, there, Hagrid. It's not really goodbye, after all.",Albus Dumbledore,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair,4 Privet Drive,Dwellings
1,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ",1002000000,1,Doorstep Delivery,Good luck...Harry Potter.,Albus Dumbledore,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair,4 Privet Drive,Dwellings
1,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ",1002000000,1,Doorstep Delivery,"Good evening, Professor Dumbledore. Are the rumours true, Albus?",Minerva McGonagall,Human,Female,Gryffindor,Cat,Fir,Dragon Heartstring,4 Privet Drive,Dwellings
1,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ",1002000000,1,Doorstep Delivery,And the boy?,Minerva McGonagall,Human,Female,Gryffindor,Cat,Fir,Dragon Heartstring,4 Privet Drive,Dwellings
1,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ",1002000000,1,Doorstep Delivery,Do you think it wise to trust Hagrid with something as important as this?,Minerva McGonagall,Human,Female,Gryffindor,Cat,Fir,Dragon Heartstring,4 Privet Drive,Dwellings
1,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ",1002000000,1,Doorstep Delivery,"Albus, do you really think it's safe, leaving him with these people? I've watched them all day. They're the worst sort of Muggles imaginable. They really are...",Minerva McGonagall,Human,Female,Gryffindor,Cat,Fir,Dragon Heartstring,4 Privet Drive,Dwellings
1,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ",1002000000,1,Doorstep Delivery,This boy will be famous. There won't be a child in our world who doesn't know his name.,Minerva McGonagall,Human,Female,Gryffindor,Cat,Fir,Dragon Heartstring,4 Privet Drive,Dwellings
1,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ",1002000000,1,Doorstep Delivery,"Professor Dumbledore, Sir. Professor McGonagall.",Rubeus Hagrid,Half-Human/Half-Giant,Male,Gryffindor,,Oak,,4 Privet Drive,Dwellings
1,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ",1002000000,1,Doorstep Delivery,"No, sir. Little tyke fell asleep just as we were flying over Bristol. Heh. Try not to wake him. There you go.",Rubeus Hagrid,Half-Human/Half-Giant,Male,Gryffindor,,Oak,,4 Privet Drive,Dwellings
2,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ",1002000000,2,The Vanishing Glass,Up. Get up.  Now!,Petunia Dursley,Human,Female,,,,,4 Privet Drive,Dwellings
2,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ",1002000000,2,The Vanishing Glass,"Oh, here he comes, the birthday boy!",Petunia Dursley,Human,Female,,,,,4 Privet Drive,Dwellings
2,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ",1002000000,2,The Vanishing Glass,"Why don't you just cook the breakfast, and try not to burn anything.",Petunia Dursley,Human,Female,,,,,4 Privet Drive,Dwellings
2,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ",1002000000,2,The Vanishing Glass,I want everything to be perfect for my Dudley's special day.,Petunia Dursley,Human,Female,,,,,4 Privet Drive,Dwellings
2,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ",1002000000,2,The Vanishing Glass,"Aren't they wonderful, darling?",Petunia Dursley,Human,Female,,,,,4 Privet Drive,Dwellings
2,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ",1002000000,2,The Vanishing Glass,"Oh, now, now, now. This is what we're going to do, is that when we go out, we're going to buy you two new presents! How's that, pumpkin?",Petunia Dursley,Human,Female,,,,,4 Privet Drive,Dwellings
2,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ",1002000000,2,The Vanishing Glass,This will be a lovely day at the zoo. I'm really looking forward to it.,Petunia Dursley,Human,Female,,,,,4 Privet Drive,Dwellings
