id,text,nreposts,nlikes,nviews,tag
40321,"Студенты Вышки неубиваемые, их практически невозможно отчислить до конца, они всегда находят способ перейти на иуп. ",40,251,8322.0,Быков_ВШЭ
40273,с: А во время экзамена с прокторингом можно дудочку курить?п: Конечно можно! Вы можете себе хоть кальян забабахать! Только главное чтобы вам никто посторонний угли не переворачивал в кадре. ,186,596,12407.0,Преподаватель_ВШЭ
40261,"П: У кого родители социологи? *ноль рук* С: Социологи не размножаются.П: Вебер не размножался, Спенсер не размножался, Конт не размножался. Видимо, реально так.",60,240,8453.0,Подвойский_ВШЭ
40198,"«Студенты мгимо - сынки, а мы - self-made.",75,264,9496.0,Ледяев_ВШЭ
40188,Проект выполняется в командах (при тяжелой социофобии можно индивидуально).,30,206,7739.0,Казун_ВШЭ
40126,"П:Что делают студенты, когда преподаватель шутит? С: Смеются.П: А на самом деле?С: Кринжуют.",36,228,10536.0,Преподаватель_ВШЭ
40111,"**во время лекции студент открывает бутылку так, что слышно на всю аудиторию**П: Мои лекции, видимо, вызывают сушняк...",34,239,10390.0,Ковалев_ВШЭ
40108,Скоро вы отправитесь отдыхать на сессионную неделю.,25,218,11540.0,Субочев_ВШЭ
40096,"“Как-то в Африке прихожу к консулу, говорю, мол, дайте визу. Она говорит, мол, нет, не дам... Потом «Вы знаете, я тут обращалась к колдуну… Там для рецепта не хватает пряди волос белого человека... Давайте вы мне дадите прядь, а я вам скидку…». Ну я и согласился”.",61,304,10284.0,Павлюк_ВШЭ
40094,"*Преподаватель рассказывает об одном из своих дел*И судья так посмотрела на моего оппонента, пафосно сняла очки и сказала: «Все, что не Москва и не Санкт-Петербург - это не судебная практика, это так, несчастный случай на производстве».",57,215,10496.0,Титов_ВШЭ
40078,"Если можно сделать это с помощью искусственного интеллекта, зачем насиловать интеллект естественный?",68,274,12301.0,Пичугина_ВШЭ
