,ID,name_en,countries,speakers,location,lat,lon,status
0,1022,South Italian,Italy,7500000.0,"Campania, Lucania (Basilicata), Abruzzi (Abruzzo), Molise, northern Calabria, northern and central Apulia (Puglia), southern Lazio and Marche as well as easternmost Umbria",40.9798,15.249,1
1,1023,Sicilian,Italy,5000000.0,"Sicily (Sicilia), southern and central Calabria and southern Apulia (Puglia); a large number of émigré communities",37.4399,14.5019,1
2,383,Low Saxon,"Germany, Denmark, Netherlands, Poland, Russian Federation",4800000.0,"northern Germany, the north-eastern part of the Netherlands, border regions of Denmark and Poland; émigré communities in the Russian Federation and elsewhere",53.4029,10.3601,1
3,335,Belarusian,"Belarus, Latvia, Lithuania, Poland, Russian Federation, Ukraine",4000000.0,Belarus except the Polesian-speaking south-west as well as adjacent regions of neighbouring countries,53.956,27.5756,1
4,382,Lombard,"Italy, Switzerland",3500000.0,"the region of Lombardy (except the southernmost border areas) and the Novara province in Piedmont, Italy; Ticino Canton and the Mesolcina District and two districts south of St. Moritz in Graubünden (Grigioni), Switzerland",45.7215,9.3273,2
5,405,Romani,"Albania, Germany, Austria, Belarus, Bosnia and Herzegovina, Bulgaria, Croatia, Estonia, Finland, France, Greece, Hungary, Italy, Latvia, Lithuania, The former Yugoslav Republic of Macedonia, Netherlands, Poland, Romania, United Kingdom of Great Britain and Northern Ireland, Russian Federation, Slovakia, Slovenia, Switzerland, Czech Republic, Turkey, Ukraine, Serbia, Montenegro",3500000.0,"many European countries, most densely in East-Central and Eastern Europe and in the Balkans",46.3165,22.3681,2
6,2211,Yiddish (Israel),Israel,3000000.0,"most speakers now live outside Europe, mainly in North America and Israel; cf. Yiddish (Europe)",32.0833,34.8333,2
7,1586,Gondi,India,2713790.0,"Madhya Pradesh (Betul, Chhindwara, Seoni, Mandla, Balaghat), Maharashtra (Amravati, Wardha, Nagpur, Bhandara, Yavatmal); also in Andhra Pradesh and Orissa",19.5804,80.4418,1
8,1020,Limburgian-Ripuarian,"Germany, Belgium, Netherlands",2600000.0,Limburg provinces in Belgium and the Netherlands and Rhineland in Germany,50.7781,6.0864,1
9,1943,Quechua of Southern Bolivia,Bolivia (Plurinational State of),2300000.0,"Departments of Cochabamba, Chuquisaca, Potosí and Oruro in Bolivia.",-18.0675,-65.7641,1
