,title,author,date,diffc,rubrics,text
0,Температуру ядра Земли уточнили с помощью лазерной абляции и рентгеновской спектроскопии. Новая оценка составила 6202 кельвина,Егор Конюхов,2025-01-03,2.9,"Физика, Геология","Физики уточнили температуру внутренней границы земного ядра, экстраполировав экспериментальные данные, которые получили с помощью рентгеновской абсорбционной спектроскопии на железе, сжатом ударным методом до 270 гигапаскаль. Своей новой оценкой в 6202 кельвина при давлении 330 гигапаскалей исследователи поделились в журнале Physical Review Letters. Согласно современным представлениям, ядро нашей планеты в основном состоит из железа и разделено на две части — расплавленную внешнюю и твердую внутреннюю. Кристаллизованный центр обеспечивает конвекцию вещества в жидкой компоненте, что в свою очередь создает магнитное поле вокруг Земли, свойства которого играют важную роль, например, в миграции животных (помогая ориентироваться нетопырям и путешествовать камышовкам в Нефтекамск). Так как параметры земного магнитного поля напрямую зависят от характеристик планетного ядра, исследователи уделили особое внимание фазовой диаграмме железа, модель которой позволяет определить состояние металла при различных давлениях и температурах. Большинство данных о свойствах железа при давлениях выше 200 гигапаскалей физики получили благодаря динамическим и ударным методам сжатия, наблюдая объемную структуру вещества с помощью рентгеновской дифракции. Однако с определением температуры не все так просто: прямые пирометрические измерения обладают плохой точностью из-за низкой излучательной способности железа, а косвенные термодинамические расчеты зависят от выбранной модели теплопроводности, что приводит к погрешности в 10–20 процентов. Николя Севелином-Радиге (Nicolas Sévelin-Radiguet) из Европейского центра синхротронных исследований совместно с физиками из Великобритании, США и Франции с помощью рентгеновской абсорбционной спектроскопии измерил температуру железа, сжатого лазерным излучением до 100–270 гигапаскалей, а затем экстраполировал полученные результаты и получили уточненную оценку температуры земного ядра в 6202 кельвина. Ученые провели эксперимент в Европейском центре синхротронного излучения на лазерной установке высокой мощности (HPLF): образец железа толщиной 3,5 микрометра исследователи нанесли на микроскопический алмаз и покрыли слоем парилена, а затем облучили лазером на длине волны 1053 нанометра. Оптические импульсы длительностью в десять наносекунд запустили лазерную абляцию парилена — вещество моментально испарилось, вызвав микровзрыв, который в свою очередь создал в подопытном материале ударные волны. Измерение скорости этих ударных волн позволило определить давление в железе с помощью гидродинамического моделирования. Для измерения температуры железа физики использовали рентгеновскую абсорбционную спектроскопию: рентгеновский пучок рассеивался в пятно размером шесть на шесть микрометров на образце, а затем собирался позиционно-чувствительным детектором, что позволило авторам работы получить полный спектр с энергетическим разрешением в один электронвольт за один рентгеновский импульс длительностью 100 пикосекунд. Собранные в результате эксперимента спектры ученые сопоставили с кривой Гюгонио и определили зависимость температуры для железа: выяснилось, что при давлении 240–270 гигапаскалей и температуре 5345–5800 кельвинов в образце наступило так называемое плато ударного плавления. Физики сопоставили эти данные с самыми последними многофазными уравнениями состояния железа, подтвердив их справедливость, и на основе экстраполяции получили новую верхнюю границу в 6202 кельвина для температуры границы внутреннего ядра Земли (при давлении 330 гигапаскалей). Новые экспериментальные результаты физиков позволили разделить существующие модели фазовой диаграммы железа на те, что дают завышенную оценку температуры при экстремальных давлениях, и те, что согласуются с данными, полученными благодаря рентгеновской абсорбционной спектроскопии. Ранее мы уже писали о том, как японские геофизики подвергли сомнению текущие оценки температуры и дефицита плотности ядра Земли."
1,Большинство людей эпохи мезолита из Оленеостровского могильника оказались местными. Они жили около восьми тысяч лет назад,Михаил Подрезов,2025-01-03,3.1,"Археология, Антропология","Ученые проанализировали изотопный состав стронция в останках десятков людей эпохи мезолита, похороненных в Оленеостровском могильнике около восьми тысяч лет назад. Это исследование показало, что почти все погребенные, вероятно, жили в том же районе, где и нашли их захоронения. Лишь в двух случаях изотопы стронция указали на то, что люди происходили из-за пределов земель, прилегающих к северной части Онежского озера. Об этом сообщается в статье, опубликованной в журнале Archaeological and Anthropological Sciences. Оленеостровский могильник представляет собой крупнейший погребальный памятник эпохи мезолита, раскопанный в северной части Европы. Еще в 30-х годах прошлого века его случайно обнаружили на Южном Оленьем острове, который находится в Онежском озере (Карелия), когда добывали известняк. В течение нескольких лет археологи раскопали на этом памятнике 141 могилу, в которой покоились останки 177 людей, живших около восьми тысяч лет назад — во время самого сурового похолодания эпохи голоцена. По оценкам исследователей, первоначально этот погребальный памятник, видимо, был гораздо больше и насчитывал около 400 захоронений древних охотников-собирателей-рыболовов. За последние годы ученые опубликовали уже несколько работ, посвященных новым исследованиям останков и артефактов из Оленеостровского могильника. На этот раз Ребекка Экельманн (Rebekka Eckelmann) из Хельсинского университета совместно с коллегами из Великобритании, Польши, России, Финляндии и Чехии обратилась к анализу изотопного состава стронция в останках людей, захороненных на этом памятнике. С помощью этого метода ученые решили выяснить, откуда происходили люди, покоившиеся в раскопанном могильнике. В общей сложности исследователи отобрали для анализа останки 57 человек из Оленеостровского могильника, причем как мужчин, так и женщин. Для сравнения они также собрали десятки современных образцов, показывающих изотопный состав тканей растений и животных из окрестностей могильника, а также кости древних представителей фауны, которые лежали в погребениях доисторических охотников-собирателей-рыболовов. Проведенные исследования показали, что почти все погребенные в Оленеостровском могильнике люди, по-видимому, родились неподалеку от места, где их похоронили. Лишь в двух случаях ученые определили, что древние индивиды происходили из-за пределов земель, расположенных в окрестностях северной части Онежского озера. Полученные результаты говорят о том, что около восьми тысяч лет назад местное население было почти оседлым, а ресурсов было достаточно, чтобы люди могли себя прокормить. Год назад на N + 1 рассказывали, как палеоантропологи исследовали нижнюю челюсть женщины, которую похоронили в Оленеостровском могильнике. Ученые обнаружили, что около восьми тысяч лет назад ей прооперировали челюсть — с помощью орудия древние люди вырезали ей третий моляр вместе с частью кости, причем это хирургическое вмешательство, по-видимому, было успешным."
2,Физики разобрались в состоянии покоя ткани. Оно оказалось не единственным,Егор Конюхов,2025-01-03,2.3,Физика,"Группа физиков выяснила, что при отсутствии внешних сил ткань принимает не какое-то уникальное состояние, в котором затем покоится, а одно из непрерывного множества возможных (при этом переход в такое состояние зависит от коэффициента трения между нитями). Ученые описали этот континуум состояний покоя, использовав собственные экспериментальные данные, а также численное моделирование на основе метода упругих стержней. Результаты исследования опубликованы в журнале Physical Review Letters. Переплетение различного рода длинных и гибких объектов, которые удерживаются между собой за счет силы трения, — это сложная физическая модель, которая может описать, например, механические свойства шариков из водорослей или то, как развязываются шнурки при ходьбе и даже как разрушаются древние рукописи. Все эти задачи на сегодняшний день ученые решают в основном с помощью численных методов, однако предсказание других свойств для систем из переплетенных нитей (например, остаточной формы трикотажного полотна) — все еще открытый вопрос, сложность которого в нетривиальной геометрии зон контакта между волокнами ткани, что в свою очередь ведет за собой соответствующее изменение вектора силы трения. Жером Крассу (Jérôme Crassous) из Университета Ренна совместно со своими коллегами из Франции и Японии выдвинул гипотезу о том, что ткань при отсутствии внешнего воздействия может находиться в одном из множества возможных состояний покоя, которое в первую очередь определяется свойствами ткани. Чтобы убедиться в правильности своего предположения, в экспериментальной части исследования физики использовали полотно трикотажа джерси размером 70 на 70 стежков, изготовленное из нейлоновой нити диаметром 0,155 миллиметра. Ткань ученые закрепили в рамке с возможностью двухосного растяжения, которое исследователи измеряли тензометрическими датчиками (изменение формы отдельных стежков и полотна в целом экспериментаторы фиксировали с помощью камеры). Помимо этого, авторы работы также провели численное моделирование с помощью метода упругих стержней (discrete elastic rods): ученые разложили нити образца на сегменты круговых цилиндров, соединенных пружинами, что в свою очередь помогло смоделировать растяжение, изгиб и кручение волокон при приложении сил. На основе этой модели физики рассмотрели упругие энергии деформаций, а затем получили конфигурации покоя как функции коэффициента трения между нитями. В итоге ученые выяснили, что состояние покоя трикотажа это не одно единственное состояние системы, а целое непрерывное множество. При этом исследователи обнаружили, что то, как ткань релаксировала со временем, зависело от коэффициента трения между волокнами полотна. Также физики заметили некоторые отличия между результатами экспериментов и моделирования, что в свою очередь объяснили пластическими деформациями, возникшими в процессе вязания материала (то есть нить без напряжения уже не была идеально прямолинейной). Авторы работы подчеркнули, что континуум состояний покоя ткани должен заметно влиять на макроскопические механические свойств полотна, а предложенные учеными методы могут быть адаптированы для любого материала, и также использоваться для изучения гистерезиса и флуктуаций, вызванных скольжением волокон. О том, как физики с помощью статистического моделирования объяснили, почему ткань рвется, а не распадается на отдельные волокна, мы писали ранее."
3,"Виноградины усилили микроволновое поле и помогли в управлении алмазными кубитами. Оптимальный зазор между ягодами оказался равным 0,5 миллиметра",Егор Конюхов,2025-01-06,4.1,Физика,"Физики использовали две виноградины для усиления микроволнового поля. Новый метод доказал свою эффективность в управлении спиновыми кубитами на основе NV-центров в наноалмазах, однако на два — четыре порядка уступил в добротности современным устройствам. Результаты исследования опубликованы в журнале Physical Review Applied. Две виноградины можно съесть, а можно поместить в микроволновку и увидеть снопы искр, проскакивающих между ягодами. Впервые явление заметили в 1994-ом году, но объяснили его механизм лишь в 2019-м: так называемые димеры винограда работают как микроволновые резонаторы, где поля сохраняются внутри виноградин благодаря морфологически-зависимым резонансам, которые в свою очередь обусловлены кривизной ягод и их высокой диэлектрической проницаемостью. Сами же наблюдаемые искры представляют собой плазму, которая образуется из металлических ионов, содержащихся в винограде. Естественно, ученых заинтересовало, можно ли использовать димерные структуры, подобные тем, что есть в винограде, в технике, где требуется усиление микроволновых полей. Микроволновые резонаторы, которые ограничивают поле конечным объемом, используют в спутниках, мазерах и даже в квантовых технологиях — для когерентного управления встроенными квантовыми системами, таким как ультрахолодные молекулы, сверхпроводящие кубиты или спины в твердотельных структурах. В последнем случае магнитное поле микроволнового резонатора взаимодействует с магнитным моментом спиновых структур и позволяет эффективно управлять поведением кубитов. Физики из Австралии под руководством Али Фаваза (Ali Fawaz) из Университета Маккуори использовали усиленное с помощью виноградных димеров магнитное поле для управления спинами NV-центров в наноалмазах. Выбор ученых пал на спиновые кубиты в алмазах по двум причинам: во-первых, их легко зондировать оптическими методами при комнатной температуре (что облегчает измерения во время эксперимента), а во-вторых, такие кубиты показали свою эффективность в измерении магнитных полей, давления и температуры (то есть обладают большим количеством потенциальных приложений). Для реализации своей задумки физики прикрепили наноалмазы с NV-центрами на кончик многомодового оптического волокна, которое поместили между двумя виноградинами. Микроволновое поле исследователи сгенерировали с помощью антенны, сделанной из медной проволоки диаметром один миллиметр. Измерения, проведенные с димерами винограда и без них, показали явное усиление микроволнового поля в том случае, когда ягоды участвовали в эксперименте. Физики связали этот результат именно с увеличением напряженности локального магнитного поля, а не с колебаниями мощности лазера или изменением температуры, так как мощность лазера оставалась стабильной в пределах десяти процентов на протяжении эксперимента, а нагревание винограда под действием микроволн, согласно предыдущим исследованиям, наоборот должно несколько уменьшать контраст картины оптически детектируемого магнитного резонанса. Помимо этого, ученые определили оптимальный размер зазора между виноградинами в полмиллиметра при фиксированном положении антенны. Авторы работы отметили, что хотя димеры винограда имеют хорошие перспективы для технологий микроволнового диапазона, их добротность как резонаторных систем на текущий момент примерно два-четыре порядка меньше, чем у используемых сегодня устройств (114 единиц у винограда против 104-106 у кристаллов сапфира). По словам физиков, решением этой проблемы в будущем могло бы стать включение композитных материалов из диэлектриков внутрь винограда. Специалисты в области квантовых технологий все чаще применяют биологические материалы в своих исследованиях: например, не так давно мы уже писали о том, как физики превратили желтый флуоресцентный белок в кубит и внедрили его внутрь живых клеток."
4,Прием глюкокортикоидов при беременности повысил риск психических расстройств у детей. Исследование проводили в Дании,Олег Лищук,2025-01-06,1.2,"Медицина, Психология","Кристина Лаугесен (Kristina Laugesen) из Орхусского университета с коллегами из Дании и Великобритании провела популяционное когортное исследование и выяснила, что назначение глюкокортикоидов при беременности связано с повышенным риском некоторых психических расстройств у ребенка при достижении 15 лет. В анализ вошли более чем 1,06 миллиона детей (52 процента — мальчики), родившихся в Дании с 1996 по 2016 год, в том числе почти 290 тысяч — у матерей с аутоиммунными или воспалительными заболеваниями и более 31,5 тысячи — при риске преждевременных родов. Наблюдение продолжали до конца 2018 года. 15-летний риск развития различных психических расстройств при наличии или отсутствии внутриутробного воздействия глюкокортикоидных препаратов у потомства матерей со схожими заболеваниями рассчитывали методом Каплана — Мейера. Результаты опубликованы в журнале JAMA Network Open. Выяснилось, что при назначении глюкокортикоидов во время беременности женщинам с аутоиммунными или воспалительными заболеваниями у их детей повышен риск развития расстройств аутистического спектра — 4,8 против 3,8 процента, относительный риск (RR) 1,3; снижения интеллекта — 1,1 против 0,8 процента, RR 1,4; синдрома дефицита внимания с гиперактивностью — 5,5 против 4,4 процента, RR 1,3, а также аффективных, тревожных и стрессовых расстройств — 6,6 против 4,6 процента, RR 1,4. У потомства женщин с риском преждевременных родов наблюдались схожие закономерности, соответствующие показатели составили 6,6 против 4,3 процента, RR 1,5; 1,6 против 1,3 процента, RR 1,3; 5,8 против 4,3 процента, RR 1,3, и 7,2 против 4,6 процента, RR 1,5. Результаты были воспроизведены при исследованиях с активным препаратом сравнения и среди братьев и сестер."
5,Уровень лейкоцитов в крови суданской пациентки превысил норму в 43 раза. Она страдала хроническим миелолейкозом,Олег Лищук,2025-01-06,2.2,Медицина,"В суданскую больницу поступила 64-летняя женщина с жалобами на сильную утомляемость в течение пяти месяцев и лихорадку с кашлем в предшествующие две недели. Частота ее сердечных сокращений составляла 110 ударов в минуту (тахикардия), артериальное давление — 90/40 миллиметров ртутного столба (гипотония), частота дыхания — 28 в минуту (учащено примерно вдвое), насыщение крови кислородом — 88 процентов (выраженная гипоксия). При объективном обследовании наблюдались спутанность сознания, увеличение и уплотнение всех групп лимфоузлов, увеличение печени и селезенки. В образце крови после центрифугирования макроскопически наблюдался толстый зеленоватый лейкотромбоцитарный слой, превосходящий по объему плазму и эритроциты (в норме он не превышает процента). Лабораторный анализ выявил концентрацию лейкоцитов 474,6 × 109 (при норме 4–11 × 109) на литр. Описанием этого случая поделился в New England Journal of Medicine Башир Башир (Bashir Bashir) из Университета Алия в Порт-Судане. В мазке периферической крови пациентки были видны многочисленные зрелые формы гранулоцитов. Молекулярный анализ вывил мутацию BCR-ABL (филадельфийскую хромосому), которая служит патогенетическим фактором развития большинства случаев хронического миелолейкоза и части случаев острых лейкозов. На основании результатов обследования женщине поставили диагноз хронического миелолейкоза с гиперлейкоцитозом (по определению это более 100 × 109 лейкоцитов на литр крови, чаще наблюдается у молодых мужчин с онкогематологическими заболеваниями и служит неблагоприятным прогностическим признаком). В силу военных действий в стране необходимые гематологические препараты не были доступны, поэтому была назначена инфузионная терапия, антибактериальные средства и глюкокортикоиды. У пациентки быстро развилась полиорганная недостаточность, а через пять дней после поступления она умерла."
6,Астрономы повторно взвесили одну из самых массивных сверхмассивных черных дыр. Новая оценка массы оказалась меньше предыдущей,Александр Войтюк,2025-01-07,4.8,Астрономия,"Астрономы повторно измерили массу центральной черной дыры в галактике Holmberg 15A на основе данных о кинематике звезд в ее ядре. Новая оценка массы оказалась почти в два раза меньше предыдущей, однако черная дыра все еще остается одной из двух наиболее тяжелых сверхмассивных черных дыр в Местной Вселенной. Препринт работы доступен на сайте arXiv.org. Для того, чтобы лучше понимать процессы роста сверхмассивных черных дыр и влияние их активности на свойства и эволюцию родительских галактик, необходимо обладать достаточно точными данными о их массах, которые могут быть измерены разными методами. Большинство из них, такие как соотношение массы черной дыры с дисперсией скоростей звезд в ядре, являются косвенными, лишь для немногих галактик измерения были сделаны напрямую, путем исследований кинематических свойств газа и звезд вблизи черной дыры. Holmberg 15A представляет собой одну из галактик, для которой проводились измерения массы центральной черной дыры различными методами, в том числе и на основе кинематики звезд, что давало последнюю оценку массы на уровне сорока миллиардов масс Солнца. Это эллиптическая массивная галактика, которая также оказалась самой яркой галактикой скопления Abell 85 на красном смещении 0,0555. Однако низкая поверхностная яркость ядра создает сложности для получения хороших данных спектроскопии, что порождает споры о размерах ядра галактики и свойствах черной дыры. Группа астрономов во главе с Эмили Липольд (Emily R. Liepold) из Калифорнийского университета в Беркли опубликовала результаты анализа данных спектроскопических наблюдений за центральной зоной галактики Holmberg 15A при помощи инструмента KCWI, установленного на одном из телескопов наземной обсерватории Кека в период с 2018 по 2021 год. Данные о распределении скоростей звезд сравнивались с результатами моделирований для определения массы черной дыры и свойств галактики. Новая оценка массы сверхмассивной черной дыры составила 21,6 миллиарда масс Солнца, что сопоставимо с массой черной дыры в наиболее яркой галактике NGC 4889 в скоплении Кома. Несмотря на то, что повторная подгонка данных моделирований к наблюдениям дает массу на уровне 25,5 миллиарда масс Солнца, это все равно сильно меньше, чем предыдущая оценка. Однако черная дыра в Holmberg 15A вместе с черной дырой из галактики NGC 4889 остаются наиболее массивными черными дырами в Местной Вселенной. Сфера гравитационного влияния черной дыры в Holmberg 15A обладает радиусом 10,5 тысячи световых лет. Полная звездная масса галактики оценивается на уровне 2,89×1012 масс Солнца, а масса темной материи в пределах 163 тысяч световых лет от центра — в 2,56×1012 масс Солнца. Отношение звездной массы к светимости галактики согласуется с предсказаниями моделей звездной популяции в массивных эллиптических галактиках. При этом Holmberg 15A оказывается выше зависимости между массой черной дыры и дисперсией звездных скоростей, что говорит о том, что для массивных галактик в Местной Вселенной дисперсия звездных скоростей может быть менее важным индикатором динамической массы черной дыры, чем звездная масса или радиус ядра галактики. Ранее ученые отыскали самую тяжелую пару сверхмассивных черных дыр."
7,Психотерапия с псилоцибином вызвала нормализацию личностных черт при алкоголизме. По данным второй фазы испытаний,Олег Лищук,2025-01-07,3.2,"Психология, Медицина","Американские исследователи провели вторичный анализ результатов клинических испытаний и обнаружили, что психотерапия с псилоцибином расстройства, связанного с употреблением алкоголя, приводит к выраженным и стойким многомерным изменениям личностных черт пациентов, и они связаны со снижением употребления спиртного после лечения. Отчет о работе опубликован в American Journal of Psychiatry. У пациентов с расстройством, связанным с употреблением алкоголя (РУА, AUD), наблюдаются патологические личностные черты: в первую очередь, сниженные добросовестность и доброжелательность, а также повышенный невротизм. Серотонинергические психоделики (агонисты 5-HT2A-рецепторов), такие как ЛСД, ДМТ, псилоцибин и другие, в экспериментальных условиях в сочетании с психотерапией производят выраженный эффект при разнообразных психических расстройствах, включая злоупотребление различными психоактивными веществами. При этом накапливаются данные о том, что подобная психотерапия может способствовать стойкому закреплению многомерных изменений личностных черт. Роль этого в терапии РУА остается малоизученной. Майкл Богеншуц (Michael Bogenschutz) из Нью-Йоркского университета с коллегами провел вторичный анализ данных двойных слепых рандомизированных контролируемых испытаний второй фазы, в ходе которых 48 пациентов с РУА получили 12 сеансов психотерапии с псилоцибином и 45 — с дифенгидрамином в качестве активного плацебо. Испытания оказались успешными: к 32 неделе наблюдения доля дней с чрезмерным употреблением спиртного в основной группе была в среднем 9,7 процента, а в контрольной — 23,6 процента (разница 13,9 процентных пункта, p = 0,01). В ходе вторичного анализа исследователи проследили за динамикой личностных черт и ее связи с употреблением алкоголя от исходного состояния до 36 недели после начала терапии у 44 участников из основной группы и 40 из контрольной (для них были доступны необходимые данные). Пять базовых личностных черт согласно диспозициональной модели (экстраверсия, доброжелательность, добросовестность, невротизм, открытость опыту; каждая из них имеет шесть аспектов) оценивали по инструменту NEO-PI-R. После введения поправок на сопутствующие факторы и ложноположительные результаты в итоге психотерапии с псилоцибином по сравнению с плацебо существенно (p ≤ 0,05) снизились показатели невротизма и повысились — экстраверсии и открытости опыту. При этом сила эффекта зависела от исходного уровня: снижение невротизма было больше, если он изначально был высоким, а повышение экстраверсии и открытости опыту — при исходно низких значениях. Более детальный анализ показал, что снижение невротизма происходило за счет таких его аспектов как депрессия, импульсивность и уязвимость, а повышение открытости опыту — за счет открытости к чувствам и фантазии. Среди всех участников снижение показателя импульсивности коррелировало с более низким уровнем употребления алкоголя после лечения. Эта связь была наиболее сильной у участников, которые получали психотерапию с псилоцибином и продолжали употребление спиртного, связанное с умеренным или высоким риском, вплоть до первого сеанса лечения. Таким образом, психотерапия с псилоцибином вызывала стойкие изменения личностных черт в сторону нормализации у пациентов с РУА. Необходимы дополнительные исследования, чтобы выяснить, связан ли подобный эффект со снижением импульсивности, или более импульсивные индивиды более чувствительны к такому виду терапии, заключают авторы работы. Псилоцибин — не единственное психоактивное вещество, показавшее высокую эффективность в экспериментальной терапии РУА. В первых клинических испытаниях пациентам с этим заболеванием хорошо помогла психотерапия с метилендиоксиметамфетамином: на девятый месяц после детоксикации среднее потребление алкоголя участниками снизилось с 1306 до 187 миллилитров в неделю в пересчете на чистый спирт."
