X,Y,Z,V,type
1.08,-1979.31,11.56,-24.72,B
-0.05,284.16,8.27,-43.04,C
0.31,-1029.12,9.5,-13.94,B
-0.36,-1401.49,7.49,0.34,C
0.48,661.12,9.17,-10.61,A
-0.19,1871.76,8.84,20.15,A
0.06,-698.62,10.73,11.49,B
0.9,-935.03,12.73,-11.51,B
-1.08,3088.54,10.48,-3.82,B
0.5,927.68,13.6,24.92,B
1.56,-2506.59,15.08,-14.77,A
1.51,-1008.2,12.41,-1.33,B
-0.46,243.41,10.01,8.15,B
1.24,-1220.64,12.53,12.96,A
1.79,-617.67,11.21,-23.74,A
-1.61,1377.21,7.19,3.53,B
-1.18,1281.81,5.22,4.74,A
-0.33,-1140.68,9.51,-3.26,A
-1.11,-397.5,8.63,-13.97,C
-1.76,-1541.3,7.6,25.76,A
1.19,3875.17,11.91,-6.06,A
0.39,1757.85,9.59,-20.16,B
0.3,813.1,10.63,2.55,A
1.41,3022.39,13.35,-16.74,C
1.47,1129.43,12.63,-31.4,B
-1.12,-1567.87,5.5,-2.21,C
1.35,1551.98,13.05,-1.61,A
-1.4,-2381.6,9.03,10.38,A
-1.54,-719.55,7.65,14.77,A
-0.05,-282.39,8.78,6.09,B
1.21,-1218.55,13.6,-24.19,A
1.26,-679.27,12.92,3.54,B
0.06,-2785.46,6.6,-20.37,B
2.76,-1273.38,13.67,-2.19,B
0.54,-1550.6,9.04,-24.81,B
-1.17,1210.95,5.5,20.57,B
-2.05,-1466.32,4.09,12.5,C
0.38,1095.32,13.41,4.36,B
-0.39,657.93,11.32,13.46,B
-0.49,152.27,9.07,18.89,B
-1.16,1337.49,7.35,7.43,C
-0.59,-1701.14,7.66,17.78,C
0.99,814.46,13.5,6.5,A
0.57,-4048.75,12.14,0.49,C
0.49,1696.07,11.62,-11.66,B
-0.97,70.03,8.94,30.64,A
0.41,1901.86,11.8,-15.62,B
1.26,-626.2,11.7,-10.34,A
0.43,-14.61,8.9,4.6,A
0.68,-889.78,11.99,4.89,B
2.72,-694.06,16.5,-30.2,A
2.1,1640.43,13.47,-42.36,A
-1.15,520.05,10.33,7.2,B
0.22,440.62,9.35,-34.65,C
-1.15,-369.18,7.67,-3.18,A
1.64,-1008.75,13.7,13.73,C
1.07,-1907.94,14.5,37.57,B
-0.02,1515.43,9.16,4.67,A
1.21,-604.95,12.3,14.49,A
0.37,3005.51,9.85,8.36,A
0.68,3342.87,14.27,-30.95,A
-1.96,2034.88,7.35,23.25,B
-0.82,741.62,7.53,-1.32,A
-0.48,-694.66,8.26,34.61,B
-0.77,1708.88,9.81,16.83,C
-0.62,-559.67,9.73,-19.15,B
-0.47,367.14,9.73,5.12,A
0.35,130.54,8.52,15.08,B
-0.13,2575.24,11.33,-51.2,C
2.26,347.47,13.47,-14.27,C
-0.75,2016.03,8.26,7.65,B
-0.45,960.09,8.46,9.99,B
-0.44,-989.34,9.8,19.69,A
2.17,2442.31,11.98,2.83,C
-0.05,516.66,13.66,-25.43,A
1.48,572.32,13.76,19.91,B
-0.76,-677.82,12.62,-2.91,B
-0.23,492.3,9.6,33.32,C
1.9,-161.03,13.72,21.28,C
-1.45,13.51,6.99,9.85,C
-1.66,801.58,5.64,9.76,A
-1.52,521.16,4.8,5.74,B
1.32,-865.73,11.77,24.15,C
0.29,1238.39,9.05,0.69,B
1.73,-2027.58,12.33,-0.49,C
0.9,-767.34,10.95,26.0,A
1.71,-2237.14,14.12,-33.09,A
-0.32,-238.05,9.93,25.49,B
-0.01,-1371.42,10.06,-8.42,B
-0.74,-1439.57,6.6,32.51,C
0.45,580.27,12.92,-3.58,A
0.13,727.01,9.63,4.39,A
1.38,715.37,11.86,9.99,A
0.39,-283.8,9.28,-26.71,B
0.29,1124.4,9.57,-49.61,B
-0.06,1121.45,10.35,2.83,C
0.06,-273.88,10.41,0.9,C
-0.38,-971.15,8.5,23.89,B
0.8,226.6,10.59,-12.26,B
-1.3,7.0,6.04,-15.92,B
